0,8,8,1695,240
0,8,16,1695,240
0,8,24,1695,240
0,8,33,1695,240
0,8,40,1695,240
0,8,48,1695,240
0,16,8,1695,240
0,16,16,1695,240
0,16,24,1695,240
0,16,33,1695,240
0,16,40,1695,240
0,16,48,1695,240
0,24,8,1695,240
0,24,16,1695,240
0,24,24,1695,240
0,24,33,1695,240
0,24,40,1695,240
0,24,48,1695,240
0,33,8,1695,240
0,33,16,1695,240
0,33,24,1695,240
0,33,33,1695,240
0,33,40,1695,240
0,33,48,1695,240
0,40,8,1695,240
0,40,16,1695,240
0,40,24,1695,240
0,40,33,1695,240
0,40,40,1695,240
0,40,48,1695,240
0,48,8,1695,240
0,48,16,1695,240
0,48,24,1695,240
0,48,33,1695,240
0,48,40,1695,240
0,48,48,1695,240
1,8,8,166b,-
1,8,16,166b,-
1,8,24,166b,-
1,8,33,166b,-
1,8,40,166b,-
1,8,48,166b,-
1,16,8,166b,-
1,16,16,166b,-
1,16,24,166b,-
1,16,33,166b,-
1,16,40,166b,-
1,16,48,166b,-
1,24,8,166b,-
1,24,16,166b,-
1,24,24,166b,-
1,24,33,166b,-
1,24,40,166b,-
1,24,48,166b,-
1,33,8,166b,-
1,33,16,166b,-
1,33,24,166b,-
1,33,33,166b,-
1,33,40,166b,-
1,33,48,166b,-
1,40,8,166b,-
1,40,16,166b,-
1,40,24,166b,-
1,40,33,166b,-
1,40,40,166b,-
1,40,48,166b,-
1,48,8,166b,-
1,48,16,166b,-
1,48,24,166b,-
1,48,33,166b,-
1,48,40,166b,-
1,48,48,166b,-
